case	arm	seed	chunk	mse_hz2
M2-GB3	AMBER_FIXED	2026092201	0	1.31987338217874
M2-GB3	AMBER_FIXED	2026092201	1	1.18777699258598
M2-GB3	AMBER_FIXED	2026092201	2	1.0296463494504087
M2-GB3	AMBER_FIXED	2026092201	3	1.0751496929225213
M2-GB3	AMBER_FIXED	2026092201	4	1.152286107553729
M2-GB3	AMBER_FIXED	2026092201	5	1.2033989995660492
M2-GB3	AMBER_FIXED	2026092201	6	1.1351354866358643
M2-GB3	AMBER_FIXED	2026092201	7	1.2224127755766405
M2-GB3	AMBER_FIXED	2026092201	8	1.122975030954339
M2-GB3	AMBER_FIXED	2026092201	9	1.1005707147957486
M2-GB3	AMBER_FIXED	2026092202	0	1.0306261426853975
M2-GB3	AMBER_FIXED	2026092202	1	1.0958828037843167
M2-GB3	AMBER_FIXED	2026092202	2	1.1225906570041284
M2-GB3	AMBER_FIXED	2026092202	3	1.2855968953455175
M2-GB3	AMBER_FIXED	2026092202	4	1.1505471299639365
M2-GB3	AMBER_FIXED	2026092202	5	1.7343153208133635
M2-GB3	AMBER_FIXED	2026092202	6	1.3575092531227917
M2-GB3	AMBER_FIXED	2026092202	7	1.0866554407701519
M2-GB3	AMBER_FIXED	2026092202	8	1.151310678206662
M2-GB3	AMBER_FIXED	2026092202	9	1.4154026345950235
M2-GB3	AMBER_FIXED	2026092203	0	1.928189669964421
M2-GB3	AMBER_FIXED	2026092203	1	1.636570964196643
M2-GB3	AMBER_FIXED	2026092203	2	1.887691189339417
M2-GB3	AMBER_FIXED	2026092203	3	1.98027857435542
M2-GB3	AMBER_FIXED	2026092203	4	1.8635245221050625
M2-GB3	AMBER_FIXED	2026092203	5	1.9866453198573624
M2-GB3	AMBER_FIXED	2026092203	6	1.5549739429326628
M2-GB3	AMBER_FIXED	2026092203	7	1.572721020069717
M2-GB3	AMBER_FIXED	2026092203	8	1.9377678200978687
M2-GB3	AMBER_FIXED	2026092203	9	1.6503503036667757
M2-GB3	AMBER_MECHLIB_V1	2026092201	0	0.9884516969517491
M2-GB3	AMBER_MECHLIB_V1	2026092201	1	1.0271479958940253
M2-GB3	AMBER_MECHLIB_V1	2026092201	2	1.1756601105695317
M2-GB3	AMBER_MECHLIB_V1	2026092201	3	1.2092694648148319
M2-GB3	AMBER_MECHLIB_V1	2026092201	4	1.291006309527799
M2-GB3	AMBER_MECHLIB_V1	2026092201	5	1.2045894419817216
M2-GB3	AMBER_MECHLIB_V1	2026092201	6	0.9287475081839588
M2-GB3	AMBER_MECHLIB_V1	2026092201	7	1.2604263786664522
M2-GB3	AMBER_MECHLIB_V1	2026092201	8	1.2320388364390271
M2-GB3	AMBER_MECHLIB_V1	2026092201	9	1.1339794090809159
M2-GB3	AMBER_MECHLIB_V1	2026092202	0	1.2914309460918363
M2-GB3	AMBER_MECHLIB_V1	2026092202	1	1.076393312118614
M2-GB3	AMBER_MECHLIB_V1	2026092202	2	1.0402016135881944
M2-GB3	AMBER_MECHLIB_V1	2026092202	3	1.2234731678990343
M2-GB3	AMBER_MECHLIB_V1	2026092202	4	1.0509908987066696
M2-GB3	AMBER_MECHLIB_V1	2026092202	5	1.1874109793840109
M2-GB3	AMBER_MECHLIB_V1	2026092202	6	1.290261630872441
M2-GB3	AMBER_MECHLIB_V1	2026092202	7	1.0174303379596705
M2-GB3	AMBER_MECHLIB_V1	2026092202	8	1.2665340669911984
M2-GB3	AMBER_MECHLIB_V1	2026092202	9	0.9815041499597917
M2-GB3	AMBER_MECHLIB_V1	2026092203	0	1.2255594708694857
M2-GB3	AMBER_MECHLIB_V1	2026092203	1	1.075001486437496
M2-GB3	AMBER_MECHLIB_V1	2026092203	2	1.0611640636123247
M2-GB3	AMBER_MECHLIB_V1	2026092203	3	0.9996991302207796
M2-GB3	AMBER_MECHLIB_V1	2026092203	4	1.1827888703580827
M2-GB3	AMBER_MECHLIB_V1	2026092203	5	1.268669671634105
M2-GB3	AMBER_MECHLIB_V1	2026092203	6	1.6610182713545458
M2-GB3	AMBER_MECHLIB_V1	2026092203	7	1.825521350378516
M2-GB3	AMBER_MECHLIB_V1	2026092203	8	1.03908219988775
M2-GB3	AMBER_MECHLIB_V1	2026092203	9	1.2397921631597926
M2-UBQ	AMBER_FIXED	2026092201	0	1.6036280785565888
M2-UBQ	AMBER_FIXED	2026092201	1	1.2926021992093175
M2-UBQ	AMBER_FIXED	2026092201	2	1.4545473846930037
M2-UBQ	AMBER_FIXED	2026092201	3	1.1961818584609947
M2-UBQ	AMBER_FIXED	2026092201	4	1.3467714918074878
M2-UBQ	AMBER_FIXED	2026092201	5	1.4328127562539086
M2-UBQ	AMBER_FIXED	2026092201	6	1.4122734773028836
M2-UBQ	AMBER_FIXED	2026092201	7	1.3967312423193803
M2-UBQ	AMBER_FIXED	2026092201	8	1.3157211662280333
M2-UBQ	AMBER_FIXED	2026092201	9	1.4692980964718818
M2-UBQ	AMBER_FIXED	2026092202	0	1.4821169560142902
M2-UBQ	AMBER_FIXED	2026092202	1	1.6746953993031222
M2-UBQ	AMBER_FIXED	2026092202	2	1.613794948742166
M2-UBQ	AMBER_FIXED	2026092202	3	1.653131230460868
M2-UBQ	AMBER_FIXED	2026092202	4	1.6446413068667953
