case	arm	seed	n_observations	n_frames	mse_hz2	rmse_hz
M2-GB3	AMBER_FIXED	2026092201	50	100	1.0204596046688053	1.0101780064269887
M2-GB3	AMBER_FIXED	2026092202	50	100	1.099476824251418	1.048559404254913
M2-GB3	AMBER_FIXED	2026092203	50	100	1.6399974024385588	1.2806238333088131
M2-GB3	AMBER_MECHLIB_V1	2026092201	50	100	1.011524793597198	1.0057458891773796
M2-GB3	AMBER_MECHLIB_V1	2026092202	50	100	1.0171895366518227	1.0085581473826002
M2-GB3	AMBER_MECHLIB_V1	2026092203	50	100	1.0608958378414703	1.0299979795327125
M2-UBQ	AMBER_FIXED	2026092201	63	100	1.1722302046266688	1.0826958042897685
M2-UBQ	AMBER_FIXED	2026092202	63	100	1.2459187654057662	1.116207312915377
M2-UBQ	AMBER_FIXED	2026092203	63	100	1.1001066830938033	1.048859706106495
M2-UBQ	AMBER_MECHLIB_V1	2026092201	63	100	1.0566843731253714	1.027951542206816
M2-UBQ	AMBER_MECHLIB_V1	2026092202	63	100	1.176373173225091	1.0846073820627864
M2-UBQ	AMBER_MECHLIB_V1	2026092203	63	100	1.1997247800529622	1.0953194876623724
