term	kind	n	amber_mae	mechlib_mae	amber_rmse	mechlib_rmse	amber_signed_bias	mechlib_signed_bias	mean_weighted_delta	positive_cases	one_sided_p_mechlib_worse	holm_p_mechlib_worse	holm_significant_worse
angle_CA_C_O	angle	80	0.6884067909674153	0.5413248032030692	0.9630674128006148	0.7173271973296467	-0.4729507940682337	-0.2300674995165556	0.02296052698483845	41	0.9985847164822004	1.0	False
angle_CNCa	angle	80	1.4621677445299395	1.314643794588392	1.9774800666388743	1.7844306802688463	1.0634139355819656	0.9239677005080195	0.01820643444902861	51	0.954564199059387	1.0	False
angle_C_CA_CB	angle	76	1.1789820650275387	1.1047740695598676	1.68690713893996	1.6648996352895917	-0.047936102155072026	-0.86390749771525	0.010280123752670312	44	0.7701708741370972	1.0	False
angle_CaCN	angle	80	1.6424392401467238	1.4784409565131502	1.772182819441254	1.6585664515887197	1.6424392401467238	1.4746188945483931	0.023947803747932133	58	0.9990932289821657	1.0	False
angle_N_CA_CB	angle	76	2.280244580313483	1.673317319985437	2.88087197948458	2.2248134907931867	-1.3104736148295155	-0.45615721821061217	0.09474559020050331	53	0.9999476055500709	1.0	False
bond_CA_C	bond	80	0.014424943827424772	0.012016487436872027	0.015307768676343633	0.012706714741588842	-0.014423226749934844	-0.011953422745499234	0.04288134690872721	58	0.999999986093237	1.0	False
bond_CA_CB	bond	76	0.010146898073522686	0.005190565207488773	0.011923569171579178	0.006558676910317159	-0.00985166862915666	-0.002735260638851886	0.08824499785721658	62	0.9999999999564427	1.0	False
bond_C_N_next	bond	80	0.020806672519183653	0.02511674848371992	0.021439772505633076	0.025715655244726528	-0.02066988717321149	-0.02511674848371992	-0.09540759855397195	2	5.736509076075722e-38	6.3101599836832945e-37	True
bond_C_O	bond	80	0.012061244989783218	0.016318127798435222	0.012632012388323156	0.016876517429274686	0.011782809566253164	0.01619807155870458	-0.10163168408798647	2	1.1998267591835859e-33	1.199826759183586e-32	True
bond_N_CA	bond	80	0.005607892650376006	0.012242439840754127	0.006639799738435817	0.01292687771227998	0.00023494753389239899	0.011931465944919678	-0.12179409646611106	9	4.398489229778646e-16	3.958640306800782e-15	True
tau_deg	angle	80	1.821671901611514	0.8758295236062823	2.2038774608268747	1.0741605605383227	-0.6256574090929327	0.17793007143620176	0.131028693540843	59	0.9999999997993343	1.0	False
