phi_center,psi_center,n,n_structures,k_empirical_secant,ci_lo,ci_hi,ci_width,k_amber_ff14SB_verified,delta_k,well_supported,ci_excludes_amber
-175.0,-175.0,629,589,0.8550750309672652,0.7987291478156001,0.9100616330791601,0.11133248526355999,10.826548734499958,-9.971473703532693,True,True
-175.0,-165.0,359,339,1.0253042978083313,0.9496929069216649,1.0999029761763606,0.1502100692546957,10.826548734499958,-9.801244436691627,True,True
-175.0,-155.0,179,175,1.071260729722506,0.974397691366063,1.1707943388241353,0.19639664745807228,10.826548734499958,-9.755288004777452,True,True
-175.0,-145.0,67,67,1.10234113273084,0.9328497595480225,1.2651276623865646,0.3322779028385421,10.826548734499958,-9.724207601769118,False,True
-175.0,-135.0,22,22,1.0835988636176739,0.8118133562970581,1.3903025455852565,0.5784891892881984,10.826548734499958,-9.742949870882285,False,True
-175.0,-125.0,18,18,0.3838772358424373,0.24095717835437566,0.5591653671731185,0.3182081888187428,10.826548734499958,-10.442671498657521,False,True
-175.0,-115.0,6,6,0.6279755830314815,0.25234248308833296,1.0386165516953818,0.7862740686070488,10.826548734499958,-10.198573151468477,False,True
-175.0,-105.0,1,1,0.22014156103577656,0.22014156103577656,0.22014156103577656,0.0,10.826548734499958,-10.606407173464182,False,True
-175.0,-95.0,3,3,0.5540715271477414,0.0,0.9246358709829137,0.9246358709829137,10.826548734499958,-10.272477207352217,False,True
-175.0,-85.0,5,5,0.48110234975946503,0.10616416305018293,0.9511600403589096,0.8449958773087266,10.826548734499958,-10.345446384740493,False,True
-175.0,-65.0,3,3,0.057693145410918224,-0.1733722445132392,0.173975873019986,0.3473481175332252,10.826548734499958,-10.768855589089041,False,True
-175.0,-55.0,6,6,0.2300258806306301,-0.07916206793368338,0.5525436969089187,0.6317057648426021,10.826548734499958,-10.59652285386933,False,True
-175.0,-45.0,4,4,0.045942928631443655,0.0,0.09401671466120329,0.09401671466120329,10.826548734499958,-10.780605805868515,False,True
